gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
10/20/2017,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,1,Goble,Jacyn,Guthrie,David,Richardson,Leroy,Karl-Anthony Towns,Starter,32,C,83,248,11/15/1995,20,1,1,1,2,3,12,7,0.5833,11,7,0.6364,1,0,0,8,6,0.75,0,10,10,UTA,West,Northwest,Away,Loss,1
10/30/2017,7:30,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Away,Win,2,Tiven,Josh,Washington,C.J.,Collins,Derrick,Karl-Anthony Towns,Starter,39,C,83,248,11/15/1995,20,1,0,1,3,4,11,7,0.6364,7,4,0.5714,4,3,0.75,4,3,0.75,3,9,12,MIA,East,Southeast,Home,Loss,1
1/8/2018,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,1,Scott,Kevin,Holtkamp,Lauren,Washington,Tom,Karl-Anthony Towns,Starter,30,C,83,248,11/15/1995,19,4,2,0,1,3,11,8,0.7273,9,7,0.7778,2,1,0.5,2,2,1,3,9,12,CLE,East,Central,Away,Loss,2
12/12/2017,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Loss,2,Guthrie,David,Twardoski,Scott,Fraher,Pat,Karl-Anthony Towns,Starter,48,C,83,248,11/15/1995,19,2,1,4,3,4,16,6,0.375,12,6,0.5,4,0,0,10,7,0.7,4,12,16,PHI,East,Atlantic,Away,Win,2
2/23/2018,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Away,Loss,7,Richardson,Leroy,Kennedy,Bill,Collins,Derrick,Karl-Anthony Towns,Starter,32,C,83,248,11/15/1995,18,3,2,0,1,3,15,6,0.4,13,5,0.3846,2,1,0.5,5,5,1,4,9,13,HOU,West,Southwest,Home,Win,9
10/18/2017,9:30,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Away,Loss,0,Fraher,Pat,Stafford,Derrick,Wall,Scott,Karl-Anthony Towns,Starter,35,C,83,248,11/15/1995,18,1,2,2,1,4,15,8,0.5333,14,8,0.5714,1,0,0,2,2,1,2,11,13,SA,West,Southwest,Home,Win,0
11/22/2017,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,2,Goldenberg,Jason,Buchert,Nick,Washington,Tom,Karl-Anthony Towns,Starter,36,C,83,248,11/15/1995,18,2,2,0,0,2,11,7,0.6364,8,5,0.625,3,2,0.6667,3,2,0.6667,3,10,13,ORL,East,Southeast,Away,Loss,2
11/24/2017,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Loss,2,Maddox,Tre,McCutchen,Monty,Adair,Brandon,Karl-Anthony Towns,Starter,39,C,83,248,11/15/1995,18,3,2,0,1,4,14,6,0.4286,11,6,0.5455,3,0,0,7,6,0.8571,3,8,11,MIA,East,Southeast,Away,Win,2
11/20/2017,7:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Away,Loss,1,Williams,James,Blair,Curtis,Adams,Bennie,Karl-Anthony Towns,Starter,30,C,83,248,11/15/1995,18,2,1,0,1,4,10,5,0.5,7,5,0.7143,3,0,0,9,8,0.8889,2,10,12,CHA,East,Southeast,Home,Win,2
1/10/2018,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,2,Wright,Sean,Kogut,Marat,Ayotte,Mark,Karl-Anthony Towns,Starter,30,C,83,248,11/15/1995,18,3,1,0,0,3,12,7,0.5833,9,5,0.5556,3,2,0.6667,2,2,1,3,9,12,OKC,West,Northwest,Away,Loss,1
